ID,N_claims_history,Claims_history_log,Has_claims_history,Is_frequent_claimant,Claims_per_year,R_Claims_history,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Age_licence_gap,Late_licence,Is_van,Is_passenger_car,Is_motorbike,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Has_second_driver,Is_urban,Composite_risk_score,Seniority,Policy_age_years,Is_broker_urban,Policy_start_quarter,Is_Q4_start,Claims_binary
19,0,0.0,0,0,0.0,0.0,75.9835728952772,1,54.49965776865161,0,21.483915126625597,0,0,1,0,22400.0,10.016860879703811,0,136,4.919980925828125,1,0,0,1,1,0.9691991786447639,0,1,0,0
20,0,0.0,0,0,0.0,0.0,74.44763860369609,1,32.58316221765914,0,41.864476386036955,1,0,1,0,20720.0,9.938902957757083,0,110,4.709530201312334,0,1,1,1,2,1.1964407939767283,0,4,1,0
20,0,0.0,0,0,0.0,0.0,74.44763860369609,1,32.58316221765914,0,41.864476386036955,1,0,1,0,20720.0,9.938902957757083,0,110,4.709530201312334,0,1,1,1,2,1.1964407939767283,0,4,1,0
21,0,0.0,0,0,0.0,0.0,75.66050650239562,1,45.034907597535934,0,30.625598904859686,1,0,1,0,19340.57,9.870011944616282,0,115,4.7535901911063645,1,0,0,1,3,2.6036960985626285,0,2,0,0
21,0,0.0,0,0,0.0,0.0,75.66050650239562,1,45.034907597535934,0,30.625598904859686,1,0,1,0,19340.57,9.870011944616282,0,115,4.7535901911063645,1,0,0,1,3,2.6036960985626285,0,2,0,0
21,0,0.0,0,0,0.0,0.0,75.66050650239562,1,45.034907597535934,0,30.625598904859686,1,0,1,0,19340.57,9.870011944616282,0,115,4.7535901911063645,1,0,0,1,3,2.6036960985626285,0,2,0,0
22,1,0.6931471805599453,1,0,0.2,0.25,74.74880219028063,1,54.666666666666664,0,20.082135523613964,0,0,1,0,15571.0,9.653229708730347,0,100,4.61512051684126,0,0,0,1,5,4.136892539356605,0,4,1,0
22,1,0.6931471805599453,1,0,0.2,0.25,74.74880219028063,1,54.666666666666664,0,20.082135523613964,0,0,1,0,15571.0,9.653229708730347,0,100,4.61512051684126,0,0,0,1,5,4.136892539356605,0,4,1,0
22,1,0.6931471805599453,1,0,0.2,0.25,74.74880219028063,1,54.666666666666664,0,20.082135523613964,0,0,1,0,15571.0,9.653229708730347,0,100,4.61512051684126,0,0,0,1,5,4.136892539356605,0,4,1,0
23,0,0.0,0,0,0.0,0.0,59.71800136892539,0,32.67624914442163,0,27.04175222450376,1,0,1,0,19550.0,9.88078171500049,0,90,4.51085950651685,0,1,1,0,2,1.5633127994524298,0,2,0,0
23,0,0.0,0,0,0.0,0.0,59.71800136892539,0,32.67624914442163,0,27.04175222450376,1,0,1,0,19550.0,9.88078171500049,0,90,4.51085950651685,0,1,1,0,2,1.5633127994524298,0,2,0,0
24,0,0.0,0,0,0.0,0.0,58.5845311430527,0,36.2135523613963,0,22.370978781656397,0,1,0,0,24063.94,10.088511288486647,1,115,4.7535901911063645,1,0,0,0,1,3.0390143737166326,0,4,1,0
25,0,0.0,0,0,0.0,0.0,72.21081451060917,1,31.99726214921287,0,40.213552361396296,1,0,1,0,13950.0,9.543306469268108,0,75,4.330733340286331,0,1,1,1,1,0.8596851471594799,1,1,0,0
26,0,0.0,0,0,0.0,0.0,57.39356605065024,0,39.3264887063655,0,18.06707734428474,0,0,1,0,14450.0,9.57851889529833,0,71,4.276666119016055,0,0,0,0,2,3.156741957563313,0,4,1,0
26,0,0.0,0,0,0.0,0.0,57.39356605065024,0,39.3264887063655,0,18.06707734428474,0,0,1,0,14450.0,9.57851889529833,0,71,4.276666119016055,0,0,0,0,2,3.156741957563313,0,4,1,0
27,0,0.0,0,0,0.0,0.0,57.385352498288846,0,38.74880219028063,0,18.636550308008218,0,1,0,0,33036.8,10.405407639461554,1,109,4.700480365792417,0,0,0,0,1,0.5092402464065708,0,2,0,0
28,2,1.0986122886681098,1,0,0.5,0.52,57.96303901437371,0,21.6290212183436,0,36.33401779603011,1,0,1,0,18700.0,9.83633227734872,0,116,4.762173934797756,1,0,0,0,4,3.9342915811088295,0,1,0,1
28,2,1.0986122886681098,1,0,0.5,0.52,57.96303901437371,0,21.6290212183436,0,36.33401779603011,1,0,1,0,18700.0,9.83633227734872,0,116,4.762173934797756,1,0,0,0,4,3.9342915811088295,0,1,0,0
28,2,1.0986122886681098,1,0,0.5,0.52,57.96303901437371,0,21.6290212183436,0,36.33401779603011,1,0,1,0,18700.0,9.83633227734872,0,116,4.762173934797756,1,0,0,0,4,3.9342915811088295,0,1,0,0
29,0,0.0,0,0,0.0,0.0,54.36824093086927,0,34.417522245037645,0,19.950718685831625,0,0,1,0,21465.0,9.97422556704147,0,110,4.709530201312334,0,1,1,0,4,1.2566735112936345,0,3,0,0
29,0,0.0,0,0,0.0,0.0,54.36824093086927,0,34.417522245037645,0,19.950718685831625,0,0,1,0,21465.0,9.97422556704147,0,110,4.709530201312334,0,1,1,0,4,1.2566735112936345,0,3,0,0
30,0,0.0,0,0,0.0,0.0,77.74948665297741,1,50.403832991101986,0,27.345653661875424,1,0,1,0,19390.0,9.872564319882619,0,110,4.709530201312334,0,0,1,1,3,2.5626283367556466,1,2,0,0
30,0,0.0,0,0,0.0,0.0,77.74948665297741,1,50.403832991101986,0,27.345653661875424,1,0,1,0,19390.0,9.872564319882619,0,110,4.709530201312334,0,0,1,1,3,2.5626283367556466,1,2,0,0
