ID,Value_vehicle,Value_vehicle_log,Is_high_value,Power,Power_log,Is_high_power,Cylinder_capacity,Is_van,Is_passenger_car,Is_motorbike,N_claims_history,R_Claims_history,Claims_per_year,Premium,Premium_log,Premium_to_value_ratio,Driver_age,Is_high_risk_age,Licence_years,Is_novice,Has_second_driver,Is_urban,Weight,Year_matriculation,Is_agent_channel,Is_broker_urban,Composite_risk_score,Seniority,Claims_severity
36586,26690.01,10.19208208357093,1,90,4.51085950651685,0,1560,1,0,0,1,0.37,0.3333333333333333,302.47,5.715282758826408,0.011332280044854056,45.24024640657084,0,26.940451745379878,0,0,0,1661,2012,0,0,0,3,0.0
36587,6394.77,8.763392113332285,0,61,4.127134385045092,0,2286,1,0,0,0,0.0,0.0,215.83,5.379113636376126,0.03374574132590759,45.34428473648186,0,17.22108145106092,0,0,0,1550,1987,1,0,0,1,0.0
36588,20385.0,9.922603669728359,0,75,4.330733340286331,0,1461,1,0,0,7,0.0,0.4666666666666667,208.01,5.3423820977101375,0.010203571078190915,45.57152635181382,0,27.49349760438056,0,0,0,1319,2012,1,0,1,15,0.0
36588,20385.0,9.922603669728359,0,75,4.330733340286331,0,1461,1,0,0,7,0.0,0.4666666666666667,209.05,5.347345597615391,0.010254586480918277,45.57152635181382,0,27.49349760438056,0,0,0,1319,2012,1,0,1,15,0.0
36588,20385.0,9.922603669728359,0,75,4.330733340286331,0,1461,1,0,0,7,0.0,0.4666666666666667,211.14,5.357246434077324,0.010357107819091533,45.57152635181382,0,27.49349760438056,0,0,0,1319,2012,1,0,1,15,0.0
36589,13450.0,9.506808731708581,0,88,4.48863636973214,0,1386,0,1,0,0,0.0,0.0,249.43,5.523179440356211,0.018543602706118503,48.40246406570842,0,15.671457905544148,0,0,0,985,2005,0,0,0,6,0.0
36589,13450.0,9.506808731708581,0,88,4.48863636973214,0,1386,0,1,0,0,0.0,0.0,256.73,5.551912525318075,0.019086313285257603,48.40246406570842,0,15.671457905544148,0,0,0,985,2005,0,0,0,6,0.0
36589,13450.0,9.506808731708581,0,88,4.48863636973214,0,1386,0,1,0,0,0.0,0.0,252.89,5.536901102350124,0.018800832651847444,48.40246406570842,0,15.671457905544148,0,0,0,985,2005,0,0,0,6,0.0
36590,16750.0,9.726213236963687,0,110,4.709530201312334,0,1461,0,1,0,0,0.0,0.0,271.85,5.608922193632241,0.016228881857799537,45.42915811088296,0,27.340177960301162,0,0,0,1205,2011,1,0,0,3,0.0
36590,16750.0,9.726213236963687,0,110,4.709530201312334,0,1461,0,1,0,0,0.0,0.0,276.64,5.626325310471383,0.01651483493522775,45.42915811088296,0,27.340177960301162,0,0,0,1205,2011,1,0,0,3,0.0
36591,20855.0,9.945396955613338,0,115,4.7535901911063645,1,1753,0,1,0,0,0.0,0.0,344.32,5.8444715233673215,0.01650939777522056,44.35044490075291,0,26.168377823408623,0,0,0,1440,2007,1,0,0,4,0.0
36591,20855.0,9.945396955613338,0,115,4.7535901911063645,1,1753,0,1,0,0,0.0,0.0,354.65,5.873947101179524,0.01700469888761028,44.35044490075291,0,26.168377823408623,0,0,0,1440,2007,1,0,0,4,0.0
36591,20855.0,9.945396955613338,0,115,4.7535901911063645,1,1753,0,1,0,0,0.0,0.0,354.65,5.873947101179524,0.01700469888761028,44.35044490075291,0,26.168377823408623,0,0,0,1440,2007,1,0,0,4,0.0
36591,20855.0,9.945396955613338,0,115,4.7535901911063645,1,1753,0,1,0,0,0.0,0.0,356.42,5.8789115608686515,0.01708956655159187,44.35044490075291,0,26.168377823408623,0,0,0,1440,2007,1,0,0,4,0.0
36592,24766.0,10.117267400897372,1,109,4.700480365792417,0,2148,1,0,0,7,0.4,0.3684210526315789,285.95,5.6593079845543715,0.011545605038963135,46.072553045859,0,27.98904859685147,0,0,0,1790,2003,1,0,1,19,0.0
36592,24766.0,10.117267400897372,1,109,4.700480365792417,0,2148,1,0,0,7,0.4,0.3684210526315789,288.92,5.669605022854615,0.011665522671296483,46.072553045859,0,27.98904859685147,0,0,0,1790,2003,1,0,1,19,0.0
36592,24766.0,10.117267400897372,1,109,4.700480365792417,0,2148,1,0,0,7,0.4,0.3684210526315789,250.48,5.5273634635148605,0.010113457423184076,46.072553045859,0,27.98904859685147,0,0,0,1790,2003,1,0,1,19,0.0
36592,24766.0,10.117267400897372,1,109,4.700480365792417,0,2148,1,0,0,7,0.4,0.3684210526315789,235.92,5.467722531408764,0.009525578390600396,46.072553045859,0,27.98904859685147,0,0,0,1790,2003,1,0,1,19,0.0
36593,22800.0,10.034559673629849,1,140,4.948759890378168,1,1997,0,1,0,7,0.0,0.5,555.09,6.320930151654563,0.02434498486908469,42.32443531827516,0,24.142368240930868,0,0,0,1356,2010,1,0,1,14,0.0
36594,27330.0,10.21577686808075,1,130,4.875197323201151,1,1984,0,1,0,2,1.99,1.0,291.9,5.6798312538336875,0.010680180015367165,45.50581793292265,0,18.973305954825463,0,0,0,1310,2002,1,0,0,2,0.0
36595,2659.0,7.886081401775745,0,9,2.302585092994046,0,49,0,0,1,0,0.0,0.0,320.49,5.772966438994861,0.12048496240601504,43.83572895277207,0,0.28199863107460643,1,0,0,75,2018,1,0,1,1,0.0
36596,16390.0,9.70448768268936,0,70,4.2626798770413155,0,1398,0,1,0,3,0.33,0.42857142857142855,224.29,5.417388461189051,0.013683728875602465,47.03901437371663,0,28.65160848733744,0,0,0,1171,2008,0,0,0,7,67.11
36596,16390.0,9.70448768268936,0,70,4.2626798770413155,0,1398,0,1,0,3,0.33,0.42857142857142855,224.29,5.417388461189051,0.013683728875602465,47.03901437371663,0,28.65160848733744,0,0,0,1171,2008,0,0,0,7,105.99
36596,16390.0,9.70448768268936,0,70,4.2626798770413155,0,1398,0,1,0,3,0.33,0.42857142857142855,222.05,5.407395961574274,0.01354706851320847,47.03901437371663,0,28.65160848733744,0,0,0,1171,2008,0,0,0,7,0.0
36597,1401.0,7.2456550675945355,0,4,1.6094379124341003,0,49,0,0,1,0,0.0,0.0,213.66,5.3690553810533785,0.1523965763195435,43.94798083504449,0,25.911019849418206,0,0,0,97,2007,1,0,0,1,0.0
36598,24030.0,10.087099942513005,1,110,4.709530201312334,0,2198,1,0,0,1,0.4,0.3333333333333333,347.83,5.8545846975105595,0.014474220798135741,45.03764544832307,0,25.845311430527037,0,0,0,1702,2010,1,0,0,3,0.0
36598,24030.0,10.087099942513005,1,110,4.709530201312334,0,2198,1,0,0,1,0.4,0.3333333333333333,377.4,5.935951837177723,0.015704714743456367,45.03764544832307,0,25.845311430527037,0,0,0,1702,2010,1,0,0,3,0.0
36599,18340.0,9.816894269951032,0,110,4.709530201312334,0,1560,0,1,0,0,0.0,0.0,291.61,5.678840664351991,0.015899351180415463,42.26967830253251,0,17.623545516769337,0,0,0,1191,2003,1,0,0,5,0.0
36600,42400.0,10.65492722584759,1,197,5.288267030694535,1,2199,0,1,0,3,1.87,0.6,630.69,6.448398767480161,0.014874413339308036,45.2539356605065,0,23.753593429158112,0,0,1,1877,2014,0,1,0,5,0.0
36601,22890.0,10.038499099192006,1,110,4.709530201312334,0,1997,1,0,0,0,0.0,0.0,281.19,5.642580602929757,0.012283867021973701,43.36755646817249,0,24.27104722792608,0,0,0,1545,2005,0,0,0,7,0.0
36601,22890.0,10.038499099192006,1,110,4.709530201312334,0,1997,1,0,0,0,0.0,0.0,294.02,5.687043150651903,0.012844349307588133,43.36755646817249,0,24.27104722792608,0,0,0,1545,2005,0,0,0,7,0.0
36601,22890.0,10.038499099192006,1,110,4.709530201312334,0,1997,1,0,0,0,0.0,0.0,295.49,5.692013491056202,0.01290856668559696,43.36755646817249,0,24.27104722792608,0,0,0,1545,2005,0,0,0,7,0.0
